artist,hrsplayed,ranking,hrsplayedround
JPEGMAFIA,68.52687028,10,68.53
Death Grips,39.39637028,10,39.4
Radiohead,38.31904778,10,38.32
James Blake,27.19935306,10,27.2
HEALTH,24.4507075,9,24.45
Sufjan Stevens,21.60278806,8,21.6
Have A Nice Life,17.03451667,7,17.03
Kitty,16.92191528,8,16.92
Nine Inch Nails,16.33481306,9,16.33
Jadu Heart,15.97944806,6,15.98
Grimes,15.92357056,7,15.92
Deerhoof,15.77137083,8,15.77
Jadeci,15.58857861,6,15.59
Tanukichan,15.09834056,8,15.1
Thom Yorke,14.49786639,8,14.5
The Microphones,14.27657806,8,14.28
Modest Mouse,14.20918222,8,14.21
AYA GLOOMY,13.77894417,6,13.78
Joji,13.68749389,7,13.69
Kero Kero Bonito,13.19731917,7,13.2
Carly Rae Jepsen,13.01315167,7,13.01
Broadcast,12.69157528,7,12.69
Orville Peck,11.77761333,7,11.78
Danny Brown,11.71647278,7,11.72
BROCKHAMPTON,11.30185028,6,11.3
Beach House,11.20368472,7,11.2
Brave Little Abacus,11.05410889,7,11.05
Clown Core,9.778447222,6,9.78
A Sunny Day In Glasgow,9.652726944,7,9.65
Land of Talk,9.502918333,8,9.5
SebastiAn,9.441720833,6,9.44
Charli XCX,9.3654675,6,9.37
Melkbelly,9.014982222,8,9.01
Slint,8.902161667,10,8.9
Tennis,8.672603889,7,8.67
Cocteau Twins,8.521594444,8,8.52
Car Seat Headrest,8.424081111,7,8.42
my bloody valentine,8.212618889,9,8.21
Silver Mt. Zion,8.189839722,7,8.19
Adeodat Warfield,7.532238889,6,7.53
Injury Reserve,7.438365556,6,7.44
yeule,7.276239167,5,7.28
Haarper,7.137190556,6,7.14
Interpol,7.069397222,6,7.07
KFC Murder Chicks,6.873873333,7,6.87
Nagisa Ni Te,6.755391667,6,6.76
Pavement,6.633205,7,6.63
The Cure,6.562265,8,6.56
Guerilla Toss,6.369954722,7,6.37
Kanye West,5.994083611,6,5.99
Animal Collective,5.881568889,6,5.88
Godspeed You! Black Emperor,5.820810278,8,5.82
Xiu Xiu,5.783929722,6,5.78
Jamie xx,5.760790833,5,5.76
Goth Babe,5.744751389,6,5.74
The Pom-Poms,5.734920833,6,5.73
Lip Critic,5.430884722,5,5.43
Pixies,5.279720278,10,5.28
Queens of the Stone Age,5.272948611,7,5.27
Tigers Jaw,5.271016667,7,5.27
The Horrors,5.266364444,7,5.27
The Strokes,5.205083056,6,5.21
Grandaddy,5.169704167,7,5.17
Freddie Dredd,5.119825278,5,5.12
King Gizzard & The Lizard Wizard,5.012137222,6,5.01
